yd;tdta;reta;opita;ebita;lsls;lta;gempl;invsls;nwcta;cacl;qacl;fata;ltdta;mveltd
0;0,3653072;0,5957167;0,2979582;0,2576111;5,5941675;5,0382907;0,112021;0,030893;0,112856;1,6990798;1,3654412;0,1242666;3,1525139;0,4574656
0;0,3823067;0,5356717;0,1950342;0,1475215;5,6586716;4,8215018;0,0243334;0,082878;0,3676509;2,5923602;1,7632288;0,0715278;2,4882041;0,3834269
0;0,3947601;0,4598165;0,2036788;0,1658589;3,9464713;3,6836165;0,0712021;0,2407373;0,494068;3,0765288;1,7605436;0,1186446;2,2960969;0,2608657
0;0,402722;0,2818439;-0,1844752;-0,2256668;5,0243355;4,2055254;-0,1123334;0,150792;0,3792304;2,2075145;1,1186542;0,0778948;1,0909411;0,2856807
0;0,4076245;0,5216701;0,140878;0,0712858;5,5421911;5,4382217;0,0886916;0,1548439;0,1858959;2,5951842;1,1208753;0,2608587;1,6026883;0,6324183
0;0,4092618;0,0068589;0,1266047;0,0980863;2,9682332;3,1583933;0,1603711;0,1627269;0,341705;2,2649866;1,7668958;0,1391368;2,7557664;0,2262906
0;0,4122924;0,5376708;0,1955691;0,1276153;6,2652054;5,762898;0,0328114;0,0415228;0,0388877;1,3090449;0,7637324;0,2165154;2,5392959;0,7801239
0;0,4259343;0,6215545;0,2119095;0,1494917;5,9321786;5,3129266;-0,1010208;0,1080653;0,2127199;2,0545304;1,0594112;0,1850462;1,7822981;0,4850458
0;0,4307621;0,4631366;0,1229418;0,0581654;6,73632;6,5381293;-0,0745019;0,1947073;0,392169;3,0346776;1,8030547;0,173762;1,3745872;0,3705163
0;0,4328487;0,5547647;0,221142;0,1851919;7,3978603;6,8374985;-0,00885;0,1614942;0,4717607;3,0721026;1,8298541;0,1847256;2,1105736;0,2683521
0;0,4383486;0,2948416;0,166709;0,1374866;8,1316769;7,4129075;0,0335822;0,1661736;0,3328288;2,4889212;0,9635685;0,1616072;2,2032102;0,3982903
0;0,4457515;0,4953349;0,221946;0,1749322;8,6565605;7,7999963;-0,0119228;0,0932687;0,1601533;1,7588639;0,7180697;0,1823305;1,3438926;0,5510933
0;0,4579452;0,3885853;0,1799007;0,1258931;7,4302146;7,2704008;0,0095897;0,088959;0,1935018;2,6365193;1,7537802;0,2556619;1,0758894;0,6803961
0;0,4594232;0,4541561;0,2493961;0,2250948;5,5495211;5,2172588;0,0038804;0,2202022;0,4888425;3,0558928;1,7648136;0,212079;2,584024;0,174947
0;0,4605938;0,5170069;0,1718108;0,1203071;7,2441772;6,2257523;-0,0296274;0,0791446;0,2024131;1,7279574;0,9398504;0,1079243;1,1663318;0,5024139
0;0,4614469;0,439588;0,2887948;0,2488106;5,6954601;5,1935801;0,0004599;0,1305927;0,4657426;3,2084265;2,185559;0,1881886;3,1998845;0,3233638
0;0,461548;0,3312998;0,124741;0,0886937;5,9183533;4,9082545;0,1219727;0,1667545;0,4555725;2,8688853;0,990507;0,1928429;2,0889602;0,2346913
0;0,4635334;0,4597108;0,1158759;0,0951133;4,2800219;3,5079756;0,0168162;0,0850947;0,4309728;2,0717975;1,6138023;0,0402729;0,9831815;0,1235211
0;0,464525;0,2098558;0,1835125;0,088852;7,4156404;7,056761;0,0072749;0,1347843;0,1690024;1,4833276;0,9314442;0,020976;2,2003431;0,4414513
0;0,4798424;0,4662019;0,1527736;0,1254926;8,745114;7,9738614;0,017525;0,2133445;0,2564413;1,7804428;0,3763838;0,104274;1,8102845;0,3734465
0;0,4810175;0,4497589;0,200011;0,1409829;6,2486581;4,760984;0,0417804;0,0588328;0,1586969;1,6662054;0,5728851;0,2334366;0,7818304;0,5999812
0;0,4828193;0,2783027;0,0904239;0,0523074;5,4201552;5,2384645;0,0395327;0,2813943;0,4364686;2,9240081;1,4364417;0,2244945;0,8736294;0,2896962
0;0,489363;0,4248207;0,1565549;0,1052644;8,2151107;8,1967724;-0,0064921;0,1164982;0,1346723;1,6592634;1,078413;0,1553379;1,2322309;0,6085151
0;0,4996104;0,2979645;0,1268066;0,0632178;7,225678;7,4510602;0;0,1366618;0,0523326;1,468076;0,4923922;0,303264;1,0537299;0,7084958
0;0,5019974;0,3881767;0,182323;0,163544;8,5544795;8,4803282;-0,0086899;0,3305697;0,2003011;1,5956838;0,5369198;0,1350294;0,9980478;0,1549772
0;0,504469;0,3329338;0,1679022;0,110966;4,3030594;3,6351905;-0,0358074;0,0944103;0,3441248;3,2353082;2,0394149;0,3356952;0,532988;0,4234069
0;0,5195657;0,422355;0,1708105;0,1147108;6,8084185;6,4023809;0,036088;0,0889381;0,1420781;1,7241613;1,0438061;0,1726344;1,5013701;0,5593588
0;0,5211444;0,3107281;0,2256984;0,1754351;6,2418762;5,4244568;0,0705077;0,1169495;0,3118015;2,2761092;1,1921606;0,2406473;1,246249;0,3858605
0;0,5223719;0,4022262;0,1605249;0,1336577;7,0551402;6,1756406;-0,0104489;0,1015299;0,3309159;2,3999251;1,364919;0,216763;0,8939436;0,3247685
0;0,5233964;0,3917719;0,19132;0,1487752;5,8734684;5,3098222;0,0440859;0,1542121;0,3333218;2,4515162;1,2715625;0,2688271;1,5101983;0,3363043
0;0,5253095;0,3506738;0,0890926;0,0406576;6,9966057;6,9062418;0,1830087;0,0956092;0,1742882;5,0277914;2,6093075;0,4185775;2,1289867;0,3185168
0;0,541322;0,4247201;0,1780516;0,1171861;6,578366;5,853879;0,0167988;0,1829084;0,2428685;1,6066167;0,6638211;0,1353551;0,6082692;0,2948626
0;0,5440344;0,5685092;0,1037576;0,0660859;3,7748981;3,2996144;-0,0397826;0,2105781;0,3456101;2,0822265;1,0216108;0,1561069;0,3982751;0,2874361
0;0,5440595;0,4817472;0,2191124;0,158333;11,37875;11,017034;-0,032561;0,0517534;0,0311957;1,1293154;0,8212906;0,0806757;0,9282302;0,6760012
0;0,5448755;0,2985532;0,1852604;0,1293534;6,0956277;5,5865447;-0,0727925;0,1332415;0,2400009;1,799777;1,061044;0,1918569;1,0778307;0,3564547
0;0,5476468;0,3815636;0,1948656;0,1419679;6,8258367;6,2782394;0,0270661;0,1525138;0,2203423;2,0698773;0,7894241;0,2516531;0,932221;0,5155579
0;0,5483481;0,0377962;-0,0636567;-0,0920255;2,2433844;2,3202105;0,4564754;0,3225927;0,350026;2,3718645;1,2010171;0,2846393;1,4712139;0,2458917
0;0,5497258;0,3722121;0,2159049;0,1862888;8,7528791;8,8006186;0,0223149;0,2753595;0,2510055;2,1499162;0,9472362;0,166362;0,827223;0,4462523
0;0,5561706;0,3975904;0,1569521;0,0592641;7,7388256;7,9022452;-0,0427773;0,1656442;0,0367958;1,1669129;0,5288035;0,1751872;1,0593748;0,6968414
0;0,5599171;0,3694977;0,1965865;0,1532337;8,7453491;8,1910799;0,0342527;0,1622461;0,220082;1,6057551;0,8284296;0,1641094;0,7570034;0,2973923
0;0,5634028;0,1785826;0,0868657;0,047673;4,7299643;4,3938513;0,0839026;0,1797401;0,257539;2,0594852;1,0246553;0,2706802;1,509353;0,4822587
0;0,5697746;0,2387546;0,1175661;0,0726787;8,2948753;8,6121158;-0,0365543;0,089887;0,0117876;1,0972356;0,557326;0,3468686;0,7751228;0,8049787
0;0,5730193;0,040257;0,2027841;0,18651;2,6399333;1,9688696;0,0330378;0,189908;0,4700214;2,2429218;1,2604757;0,1642399;1,7573422;0,1501071
0;0,5792285;0,2456652;0,1652074;0,1366216;5,6271899;4,8967805;0,1282274;0,1431439;0,4156368;2,272991;1,3628745;0,2433499;0,7324122;0,2349842
0;0,5862266;0,3808403;0,077849;0,0547886;6,7347905;5,8108347;0,0525194;0,158118;0,2613966;1,5950376;0,6882726;0,0962942;0,645877;0,1763418
0;0,5893756;0,3966553;0,1652246;0,1305542;6,4209289;5,8640135;-0,0109018;0,1767557;0,3747588;2,1815887;1,2089465;0,2371127;1,3510407;0,1351691
0;0,5907011;0,3776648;0,0920724;0,0491615;4,9774542;4,6119131;-0,0279815;0,2044275;0,2542206;1,9325027;0,8517379;0,2787084;0,6024776;0,4429437
0;0,5991887;0,1488227;0,1434131;0,103324;2,9634053;2,4932134;-0,0208516;0,2524481;0,5167038;3,7725146;1,6047807;0,3732103;0,5001825;0,273783
0;0,6009653;0,2264552;0,1705399;0,1459449;7,2320722;6,7338415;-0,0823794;0,1486187;0,2886671;1,795277;1,1214109;0,1603401;0,4902529;0,2123327
